@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
standing,9770,7108,11088,11059,10833
standing,9871,7165,10945,10749,10749
standing,9948,7241,11117,10889,11031
standing,9922,7146,10805,10749,10889
standing,10025,7222,10861,10917,10917
standing,10025,7241,10974,11088,11002
standing,9948,7241,10917,10805,10945
standing,10103,7357,10974,11088,11088
standing,10025,7241,10889,10917,10805
standing,9948,7260,10974,10917,10611
standing,9948,7299,10861,10917,10749
standing,9974,7279,10861,10974,10861
standing,9897,7494,10917,10777,10917
standing,9922,7415,10945,10974,10833
standing,9922,7337,10945,10945,10666
standing,9922,7396,10805,10805,10777
standing,9897,7494,10861,10694,10889
standing,9745,7299,10861,10721,10805
standing,9820,7376,10694,10861,10666
standing,9720,7514,10833,10889,10666
standing,9820,7553,10861,10833,10639
standing,9795,7533,10889,10861,10557
standing,9770,7337,10805,10805,10341
standing,9745,7435,10805,10945,10502
standing,9720,7415,10833,11203,10529
standing,9770,7474,10721,10974,10833
standing,9770,7376,10805,10721,10314
standing,9846,7474,10833,10974,10341
standing,9846,7396,10833,11088,10367
standing,9720,7454,10917,10777,10341
standing,9745,7396,10889,11117,10421
standing,9820,7299,10721,11031,10341
standing,9720,7318,10749,11145,10367
standing,9795,7241,10917,10889,10529
standing,9846,7108,10805,10889,10945
standing,9695,7146,10945,10805,10833
standing,9871,6939,10721,10861,10833
standing,9846,6902,10721,11031,11174
standing,9645,6958,10889,10805,11145
standing,9820,6902,10861,10889,11031
standing,9745,6720,11002,10889,10974
standing,9795,6811,10833,11031,10974
standing,9795,6793,10861,10889,10861
standing,9846,6921,10749,10889,11145
standing,9745,6995,10889,11031,10889
standing,9846,7032,10721,11145,10861
standing,9795,7108,10749,11145,10777
standing,9770,7051,11002,10945,10666
standing,9745,7165,10749,11031,11002
standing,9820,7070,10833,11174,10805
standing,9745,7032,10861,11117,10917
standing,9695,7203,10805,11059,10833
standing,9820,7051,10945,10945,10917
standing,9871,7108,10833,11088,10861
