@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10639,10025,12206,12398,13031
vsign,10502,10000,11892,13031,13664
vsign,10557,9645,11954,12431,12997
vsign,10974,9974,12594,13308,13168
vsign,10917,9620,12366,12760,13099
vsign,10889,9670,12270,13168,13203
vsign,10584,9922,12017,13134,13343
vsign,10945,10000,11923,13308,13520
vsign,10584,9846,12463,12760,13238
vsign,11002,10077,12561,13413,13484
vsign,10475,9846,12334,13203,13664
vsign,10917,9770,11954,13099,13628
vsign,10721,9871,12398,13031,13449
vsign,10889,9670,12594,12431,13413
vsign,10861,9620,12334,13343,13238
vsign,10557,9820,12627,13378,13628
vsign,10917,9595,12334,12561,13592
vsign,10694,9871,12431,12529,13628
vsign,10861,9620,12398,12561,12962
vsign,10639,9871,12431,12431,13238
vsign,10861,9620,11954,12366,12895
vsign,10611,9974,11861,12760,13592
vsign,10777,9745,12111,12594,13308
vsign,10639,9645,11892,12561,13168
vsign,10777,9670,12111,12760,13343
vsign,10917,9695,12431,12496,13484
vsign,10974,9496,12431,12962,12827
vsign,10529,9595,12111,12660,13134
vsign,10833,9620,12594,13238,13628
vsign,10529,9521,11892,12334,12895
vsign,10889,9496,12431,13168,13378
vsign,10639,9645,12366,12861,13134
vsign,10861,9871,11954,13031,13273
vsign,10805,9620,12431,12827,13065
vsign,10666,9745,12302,12660,13343
vsign,11002,9595,11923,13203,13664
vsign,10861,9570,12431,12594,13273
vsign,10666,9472,12334,13134,13273
vsign,10584,9820,12270,12561,13273
vsign,10584,9820,12302,13065,13343
vsign,10749,9745,12270,12861,13134
vsign,11031,9472,12142,12561,12895
vsign,10805,9795,12142,12561,13273
vsign,10557,9695,12431,13099,13378
vsign,10666,9670,12142,12693,12861
vsign,10639,9695,12627,12302,13628
vsign,10917,9922,11892,12794,13556
vsign,10502,9620,12594,12827,12895
vsign,10889,9770,12398,12895,13031
vsign,10584,9795,12463,13238,13484
vsign,10917,9897,12529,12431,12997
vsign,10974,9820,12270,12895,13099
vsign,10833,9695,12174,13273,12827
vsign,10666,9922,12048,13238,12962
vsign,10721,9620,12431,12895,12962
vsign,10639,9521,12048,13099,13520
vsign,10861,9820,12302,12760,13065
vsign,11059,9846,11892,13413,12997
vsign,10584,9745,12463,13065,13099
vsign,10861,9820,12366,12928,13343
vsign,10557,9795,12174,13099,12861
vsign,10721,10000,11985,12997,13031
vsign,10529,10103,11861,12895,13238
vsign,10557,10025,12048,13065,13031
vsign,10639,10103,11923,12529,13343
vsign,10749,10129,11923,12463,13168
vsign,10974,9770,12398,12827,13031
vsign,10666,10051,12238,12928,13099
vsign,10749,9770,12496,12794,12794
vsign,11002,10208,12463,13134,13378
vsign,11002,10000,12496,12366,13065
vsign,10694,10182,12270,12660,13273
vsign,10974,9897,11892,12727,13449
vsign,11002,9897,12398,12962,13065
vsign,10557,10156,12463,12561,13065
vsign,10529,10000,11861,12594,13413
vsign,10611,10261,12398,12463,13238
vsign,10666,10129,11954,12895,13273
vsign,10557,10077,12334,13343,13238
vsign,10475,9820,12079,12561,13378
vsign,10945,9948,12270,13238,13134
vsign,10833,9922,12142,12827,13308
vsign,10502,10208,12206,12302,13700
vsign,10557,10182,11985,12997,13308
vsign,10502,10208,12111,12962,12861
vsign,10557,9922,12334,12962,13308
vsign,10529,10156,12529,12366,12997
vsign,10833,9795,12206,13031,12962
vsign,10529,9897,12302,12693,13238
vsign,11002,10129,12017,12496,13484
vsign,10611,10025,12048,12496,13628
vsign,10974,9720,12627,12529,13134
vsign,10721,9922,12017,12928,13065
vsign,10666,10025,12238,13343,12827
vsign,10833,10000,12270,12928,13308
vsign,10584,9974,12529,12895,13413
vsign,10805,9745,12142,13273,12827
vsign,10611,9974,12334,12827,13273
vsign,10917,9745,12334,13065,12827
vsign,10974,9974,12398,13413,13099
vsign,10974,9795,11954,13203,13168
vsign,10749,9770,12048,12660,12895
vsign,10861,9974,12431,12895,12827
vsign,10639,10129,12174,12431,12997
vsign,10861,9922,12079,13273,12827
vsign,10666,9974,12334,12660,13273
vsign,11031,10051,12496,13134,13628
vsign,10639,10051,12206,12463,13520
vsign,10974,10129,12529,12660,12794
vsign,10833,9922,12366,12760,13238
vsign,10889,9846,12206,12962,13134
vsign,10557,9974,11985,12660,12895
vsign,10889,9795,11923,12463,12928
vsign,10557,9974,12366,12794,13031
vsign,10777,9795,12431,13168,13099
vsign,10557,9820,12627,12398,13556
vsign,10666,9897,12048,13343,13520
vsign,10694,9695,12302,12928,12928
vsign,10945,9922,12174,12997,13308
vsign,10805,9770,11985,12463,12760
vsign,10974,9745,12594,12463,13520
vsign,10611,9871,12048,12496,12861
vsign,10861,9745,12206,12962,13065
vsign,10557,9846,12529,12827,12861
vsign,10974,9974,12142,12463,13308
vsign,10694,9645,12079,12928,13520
vsign,10945,9897,12048,12431,12794
vsign,10611,9846,12206,12529,12928
vsign,10639,10182,11861,13134,13168
vsign,10666,9745,11830,12302,13031
vsign,10805,9871,12398,12962,13203
vsign,10611,10129,12206,12997,13134
vsign,10611,9846,12431,13203,13484
vsign,10974,9897,12302,12962,12997
vsign,10502,9670,11892,12463,13168
vsign,10833,9974,12366,12693,13308
vsign,10861,10025,11954,13065,12928
vsign,10584,10051,11954,13031,12997
vsign,10889,9897,12206,12861,13031
vsign,10945,9745,11954,13031,13065
vsign,10584,9948,12270,12627,13520
vsign,10749,9770,12334,12962,13238
vsign,10639,9922,12398,12561,13203
vsign,10777,9720,12529,12827,12794
vsign,10721,10156,12594,12594,12794
vsign,10833,9871,12111,13031,13308
vsign,10721,9871,12270,12496,13031
vsign,10861,9897,11861,13484,13099
vsign,10557,9897,12334,12431,13484
vsign,10694,9948,12302,12660,13238
vsign,10694,9897,12463,13031,13238
vsign,10889,9820,12238,12727,13238
vsign,10694,10077,11954,12594,13343
vsign,10639,9745,12398,12962,12861
vsign,10833,9922,12238,12561,13343
vsign,10639,9897,12302,12962,13273
vsign,10805,9871,12238,12928,13238
vsign,10777,9922,12334,12861,13168
vsign,10833,9695,12660,12366,13520
vsign,10861,9948,12302,12529,13273
vsign,10861,9871,11954,12997,13273
vsign,10974,10103,12529,12594,12962
vsign,10666,10051,12048,13203,12895
vsign,10475,9897,12627,12334,13343
vsign,11059,9720,12111,13413,13099
vsign,10917,9720,12496,12962,12928
vsign,10861,9795,12398,13238,13134
vsign,10502,9695,11861,12431,13343
vsign,10974,9745,12017,13238,12962
vsign,10721,9695,12398,12895,13065
vsign,10639,9871,11954,12895,12997
vsign,10833,9922,12270,12895,13203
vsign,10475,10051,11923,13238,12760
vsign,10666,9820,12174,12727,13099
