@relation pose

@attribute name {question,exclamation,arm,anxious,vsign,tengu,standing}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10129,6062,9770,11678,9846
vsign,10208,6112,9695,11587,10051
vsign,10077,6145,9720,11557,9871
vsign,10051,6112,9620,11617,9871
vsign,10077,6095,9670,11617,9820
vsign,10103,6112,9620,11708,9922
vsign,10051,6112,9695,11617,9897
vsign,10077,6062,9670,11678,9948
vsign,10103,6095,9645,11678,9922
vsign,10051,6078,9770,11648,9897
vsign,10000,6145,9770,11678,9846
vsign,9974,6112,9745,11678,9720
vsign,10103,6062,9820,11557,9871
vsign,10051,6078,9922,11617,9795
vsign,10156,6078,9770,11648,9948
vsign,10182,6078,9720,11557,10000
vsign,10077,6112,9645,11648,9820
vsign,10129,6129,9570,11678,9871
vsign,10025,6095,9695,11769,9846
vsign,10000,6162,9795,11708,9974
vsign,10077,6129,9645,11648,9846
vsign,9974,6112,9720,11800,9795
vsign,10156,6095,9795,11617,10000
vsign,10103,6162,9620,11648,9897
vsign,10025,6129,9670,11800,9871
vsign,10077,6129,9670,11769,9871
vsign,10025,6162,9695,11617,9820
vsign,10077,6129,9695,11769,9846
vsign,10000,6129,9770,11617,9770
vsign,10025,6145,9720,11648,9745
vsign,10000,6129,9770,11739,9820
vsign,10051,6129,9745,11892,9820
vsign,10025,6145,9695,11708,9846
vsign,10077,6162,9620,11769,9820
vsign,10077,6162,9695,11739,9846
vsign,10051,6179,9645,11769,9922
vsign,10182,6162,9645,11739,10000
vsign,10129,6112,9770,11497,9897
vsign,10077,6112,9770,11617,9897
vsign,10077,6112,9897,11468,9846
vsign,10103,6095,9795,11617,9948
vsign,10103,6145,9897,11527,9897
vsign,10156,6145,9770,11497,10000
vsign,10000,6129,9670,11739,9922
vsign,10025,6129,9720,11769,9770
vsign,10025,6145,9720,11739,9820
vsign,10025,6129,9795,11769,9846
vsign,10000,6145,9645,11617,10557
vsign,10156,6112,9720,11527,9922
vsign,10129,6129,9720,11648,9871
vsign,10208,6112,9645,11527,9974
vsign,10051,6078,9745,11678,9922
vsign,10103,6112,9770,11587,9897
vsign,10156,6078,9770,11587,9974
